,date,VRP
2198,2004-10-27,-83.6183341064193
2199,2004-10-28,-88.20060622513216
2200,2004-10-29,-77.43279247152952
2201,2004-11-01,-77.46200709344873
2202,2004-11-02,-77.45258420410113
2203,2004-11-03,-102.22509005964213
2204,2004-11-04,-103.59118878344634
2205,2004-11-05,-106.04119803793841
2206,2004-11-08,-106.05031171196336
2207,2004-11-09,-107.77730133618951
2208,2004-11-10,-113.18982816813039
2209,2004-11-11,-113.57059497063258
2210,2004-11-12,-110.77901622137404
2211,2004-11-15,-110.24894195936054
2212,2004-11-16,-111.8873631700049
2213,2004-11-17,-111.99790736565711
2214,2004-11-18,-114.00026735701627
2215,2004-11-19,-108.72310861816106
2216,2004-11-22,-114.68720655588402
2217,2004-11-23,-117.34727469976733
2218,2004-11-24,-116.85675439756855
2219,2004-11-26,-115.16861060887479
2220,2004-11-29,-109.24998547260157
2221,2004-11-30,-109.90350919398202
2222,2004-12-01,-112.67021407220727
2223,2004-12-02,-113.66706625969093
2224,2004-12-03,-113.86994571058307
2225,2004-12-06,-110.94841187783828
2226,2004-12-07,-104.72162745755156
2227,2004-12-08,-110.19856863620373
2228,2004-12-09,-113.41155415958744
2229,2004-12-10,-114.73522240861072
2230,2004-12-13,-116.87213512280422
2231,2004-12-14,-115.02035505010772
2232,2004-12-15,-118.34684844839538
2233,2004-12-16,-119.12097713237065
2234,2004-12-17,-121.87137694937104
2235,2004-12-20,-123.09020433271004
2236,2004-12-21,-125.5945991268467
2237,2004-12-22,-126.26722442588218
2238,2004-12-23,-128.0692522915959
2239,2004-12-27,-119.90667920855557
2240,2004-12-28,-121.21260748287489
2241,2004-12-29,-124.90627346632823
2242,2004-12-30,-116.12320482467078
2243,2004-12-31,-108.80003168040676
2244,2005-01-03,-99.41224684574729
2245,2005-01-04,-100.80904907323685
2246,2005-01-05,-100.28974500094233
2247,2005-01-06,-105.76823709821645
2248,2005-01-07,-106.16210473990361
2249,2005-01-10,-108.72215350347679
2250,2005-01-11,-109.04030637906965
2251,2005-01-12,-115.44462085994235
2252,2005-01-13,-112.39584799905819
2253,2005-01-14,-116.66284859686655
2254,2005-01-18,-116.43892624230094
2255,2005-01-19,-109.88640601945184
2256,2005-01-20,-103.31523159483962
2257,2005-01-21,-97.87677995787672
2258,2005-01-24,-94.44838927361769
2259,2005-01-25,-100.95420131605891
2260,2005-01-26,-107.57652459451606
2261,2005-01-27,-109.64896604080008
2262,2005-01-28,-109.39865779691883
2263,2005-01-31,-113.6361845483973
2264,2005-02-01,-121.52296765873871
2265,2005-02-02,-125.1117162694556
2266,2005-02-03,-123.66764706268691
2267,2005-02-04,-128.15743161016934
2268,2005-02-07,-124.11230455555005
2269,2005-02-08,-125.22199949206998
2270,2005-02-09,-121.589515342926
2271,2005-02-10,-126.31478192889512
2272,2005-02-11,-126.9236583618374
2273,2005-02-14,-126.28842027325999
2274,2005-02-15,-128.11236780292103
2275,2005-02-16,-129.44862133634587
2276,2005-02-17,-123.10772397107525
2277,2005-02-18,-128.17140978702017
2278,2005-02-22,-109.57934280943556
2279,2005-02-23,-117.75976983684782
2280,2005-02-24,-125.3946127808824
2281,2005-02-25,-126.3298493606975
2282,2005-02-28,-121.30175573641975
2283,2005-03-01,-121.87314030345908
2284,2005-03-02,-117.66092950162897
2285,2005-03-03,-113.11270298563326
2286,2005-03-04,-122.33118982609653
2287,2005-03-07,-119.76354330015178
2288,2005-03-08,-118.43421094709771
2289,2005-03-09,-115.05842206344752
2290,2005-03-10,-117.59215572454738
2291,2005-03-11,-114.5985374336019
2292,2005-03-14,-118.48429226417196
2293,2005-03-15,-111.10177878777893
2294,2005-03-16,-107.66738386107437
2295,2005-03-17,-110.04142807838056
2296,2005-03-18,-111.52569747820871
2297,2005-03-21,-106.70061561245444
2298,2005-03-22,-99.4488300881955
2299,2005-03-23,-102.2401918288939
2300,2005-03-24,-107.96100117478372
2301,2005-03-28,-104.369466683332
2302,2005-03-29,-96.07130947692042
2303,2005-03-30,-105.10753835458254
2304,2005-03-31,-101.80186318746988
2305,2005-04-01,-100.89183566986071
2306,2005-04-04,-100.88209769972244
2307,2005-04-05,-105.5050443649904
2308,2005-04-06,-110.607458770513
2309,2005-04-07,-118.6193628525501
2310,2005-04-08,-115.9039238024153
2311,2005-04-11,-121.78002110198128
2312,2005-04-12,-127.83967964696348
2313,2005-04-13,-108.720642903514
2314,2005-04-14,-96.20669789606654
2315,2005-04-15,-56.65763826237725
2316,2005-04-18,-73.24497433597571
2317,2005-04-19,-92.63002019452412
2318,2005-04-20,-68.81668195195579
2319,2005-04-21,-99.74494938407429
2320,2005-04-22,-90.05413714480198
2321,2005-04-25,-99.02716834694766
2322,2005-04-26,-96.10371720358282
2323,2005-04-27,-96.92170636731652
2324,2005-04-28,-72.48066671291292
2325,2005-04-29,-91.32561967139321
2326,2005-05-02,-94.24000922572071
2327,2005-05-03,-100.8512133458064
2328,2005-05-04,-108.2260250682881
2329,2005-05-05,-107.50176756120646
2330,2005-05-06,-106.75575181403138
2331,2005-05-09,-109.78800293210355
2332,2005-05-10,-96.88545033267107
2333,2005-05-11,-102.6319329892807
2334,2005-05-12,-82.97085977096884
2335,2005-05-13,-80.29550963820236
2336,2005-05-16,-87.76888769975866
2337,2005-05-17,-99.78515960248399
2338,2005-05-18,-110.15540641010347
2339,2005-05-19,-113.68208079017373
2340,2005-05-20,-114.754569797486
2341,2005-05-23,-114.75732539446767
